Region,Category,Product,Sum of Boxes
Americas,Bars,85% Dark Bars,106615
Americas,Bars,99% Dark & Pure,32932
Americas,Bars,Almond Choco,11903
Americas,Bars,Baker's Choco Chips,11222
Americas,Bars,Caramel Stuffed Bars,50796
Americas,Bars,Fruit & Nut Bars,40553
Americas,Bars,Milk Bars,39572
Americas,Bars,Mint Chip Choco,72123
Americas,Bars,Orange Choco,6027
Americas,Bars,Raspberry Choco,123830
Americas,Bars,Smooth Silky Salty,43394
APAC,Bars,85% Dark Bars,204510
APAC,Bars,99% Dark & Pure,79874
APAC,Bars,Almond Choco,27848
APAC,Bars,Baker's Choco Chips,24794
APAC,Bars,Caramel Stuffed Bars,118271
APAC,Bars,Fruit & Nut Bars,85101
APAC,Bars,Milk Bars,88485
APAC,Bars,Mint Chip Choco,174232
APAC,Bars,Orange Choco,16192
APAC,Bars,Raspberry Choco,243808
APAC,Bars,Smooth Silky Salty,104337
Europe,Bars,85% Dark Bars,99689
Europe,Bars,99% Dark & Pure,30874
Europe,Bars,Almond Choco,13802
Europe,Bars,Baker's Choco Chips,17496
Europe,Bars,Caramel Stuffed Bars,63328
Europe,Bars,Fruit & Nut Bars,34472
Europe,Bars,Milk Bars,37832
Europe,Bars,Mint Chip Choco,74794
Europe,Bars,Orange Choco,9666
Europe,Bars,Raspberry Choco,112519
Europe,Bars,Smooth Silky Salty,39751
Americas,Bites,50% Dark Bites,4833
Americas,Bites,70% Dark Bites,10312
Americas,Bites,After Nines,13009
Americas,Bites,Choco Coated Almonds,46956
Americas,Bites,Eclairs,6604
Americas,Bites,Peanut Butter Cubes,48791
Americas,Bites,Spicy Special Slims,50768
APAC,Bites,50% Dark Bites,15613
APAC,Bites,70% Dark Bites,28833
APAC,Bites,After Nines,36423
APAC,Bites,Choco Coated Almonds,97487
APAC,Bites,Eclairs,15504
APAC,Bites,Peanut Butter Cubes,97830
APAC,Bites,Spicy Special Slims,109082
Europe,Bites,50% Dark Bites,4997
Europe,Bites,70% Dark Bites,7897
Europe,Bites,After Nines,14182
Europe,Bites,Choco Coated Almonds,58839
Europe,Bites,Eclairs,5559
Europe,Bites,Peanut Butter Cubes,42077
Europe,Bites,Spicy Special Slims,54697
Americas,Other,Drinking Coco,23363
Americas,Other,Manuka Honey Choco,83983
Americas,Other,Organic Choco Syrup,39300
Americas,Other,White Choc,25778
APAC,Other,Drinking Coco,45439
APAC,Other,Manuka Honey Choco,225813
APAC,Other,Organic Choco Syrup,92248
APAC,Other,White Choc,56676
Europe,Other,Drinking Coco,20655
Europe,Other,Manuka Honey Choco,83517
Europe,Other,Organic Choco Syrup,44150
Europe,Other,White Choc,32145
